lad_code,n,mean,rooms
E06000034,1060,994,Two
E07000008,840,1391,Two
E07000009,400,823,Two
E07000010,400,697,Two
E07000011,920,829,Two
E07000012,570,1085,Two
E07000066,740,1051,Two
E07000067,430,893,Two
E07000068,530,1220,Two
E07000069,290,985,Two
E07000070,1040,1028,Two
E07000071,960,844,Two
E07000072,240,1260,Two
E07000073,450,1032,Two
E07000074,70,857,Two
E07000075,270,1005,Two
E07000076,670,783,Two
E07000077,220,994,Two
E07000095,300,1137,Two
E07000096,530,1173,Two
E07000242,830,1157,Two
E07000098,310,1363,Two
E07000099,380,1032,Two
E07000240,720,1382,Two
E07000243,270,1055,Two
E07000102,220,1309,Two
E07000103,380,1325,Two
E07000241,410,1143,Two
E07000143,530,712,Two
E07000144,360,749,Two
E07000145,510,627,Two
E07000146,720,703,Two
E07000147,450,696,Two
E07000148,960,822,Two
E07000149,200,755,Two
E07000200,330,783,Two
E07000244,650,684,Two
E07000202,780,701,Two
E07000203,130,773,Two
E07000245,700,953,Two
E09000007,510,2319,Two
E09000001,20,2503,Two
E09000012,330,1954,Two
E09000013,460,2088,Two
E09000014,500,1675,Two
E09000019,320,2133,Two
E09000020,1040,3174,Two
E09000022,560,1847,Two
E09000023,650,1457,Two
E09000025,590,1532,Two
E09000028,1060,1988,Two
E09000030,520,1984,Two
E09000032,730,1911,Two
E09000033,400,3260,Two
E09000002,340,1266,Two
E09000003,1020,1524,Two
E09000004,290,1265,Two
E09000005,270,1513,Two
E09000006,980,1380,Two
E09000008,640,1274,Two
E09000009,700,1591,Two
E09000010,330,1372,Two
E09000011,690,1510,Two
E09000015,570,1386,Two
E09000016,330,1238,Two
E09000017,980,1321,Two
E09000018,550,1517,Two
E09000021,290,1496,Two
E09000024,350,1644,Two
E09000026,580,1364,Two
E09000027,540,1753,Two
E09000029,490,1279,Two
E09000031,630,1449,Two
E06000036,650,1076,Two
E06000043,940,1367,Two
E06000060,1270,1119,Two
E06000046,1090,703,Two
E06000035,960,915,Two
E06000042,820,1064,Two
E06000044,1190,939,Two
E06000038,1870,1119,Two
E06000039,320,1126,Two
E06000045,1740,923,Two
E06000037,580,1016,Two
E06000040,840,1297,Two
E06000041,850,1081,Two
E07000061,510,955,Two
E07000062,420,784,Two
E07000063,330,1110,Two
E07000064,300,913,Two
E07000065,280,1062,Two
E07000084,890,969,Two
E07000085,170,994,Two
E07000086,830,902,Two
E07000087,540,896,Two
E07000088,850,816,Two
E07000089,400,1061,Two
E07000090,320,889,Two
E07000091,690,965,Two
E07000092,530,1011,Two
E07000093,290,976,Two
E07000094,620,1067,Two
E07000105,520,939,Two
E07000106,590,981,Two
E07000107,420,1163,Two
E07000108,410,738,Two
E07000112,620,732,Two
E07000109,400,965,Two
E07000110,580,956,Two
E07000111,330,1280,Two
E07000113,290,890,Two
E07000114,470,834,Two
E07000115,330,1112,Two
E07000116,420,1177,Two
E07000177,460,1017,Two
E07000178,960,1376,Two
E07000179,430,1091,Two
E07000180,440,1020,Two
E07000181,190,1081,Two
E07000207,540,1358,Two
E07000208,250,1274,Two
E07000209,600,1321,Two
E07000210,310,1233,Two
E07000211,490,1269,Two
E07000212,340,1260,Two
E07000213,190,1287,Two
E07000214,390,1072,Two
E07000215,270,1242,Two
E07000216,360,1214,Two
E07000217,660,1286,Two
E07000223,120,1112,Two
E07000224,390,960,Two
E07000225,430,1042,Two
E07000226,410,1125,Two
E07000227,710,1095,Two
E07000228,390,1075,Two
E07000229,490,1048,Two
E06000022,1060,1170,Two
E06000058,2780,954,Two
E06000023,1780,1266,Two
E06000052,3210,758,Two
E06000059,1160,824,Two
E06000053,10,628,Two
E06000024,970,888,Two
E06000026,1700,749,Two
E06000025,800,1011,Two
E06000030,1030,779,Two
E06000027,660,724,Two
E06000054,1610,801,Two
E07000040,660,738,Two
E07000041,590,924,Two
E07000042,420,708,Two
E07000043,360,694,Two
E07000044,440,798,Two
E07000045,490,767,Two
E07000046,230,643,Two
E07000047,250,659,Two
E07000078,500,931,Two
E07000079,150,910,Two
E07000080,100,707,Two
E07000081,290,780,Two
E07000082,310,790,Two
E07000083,360,736,Two
E07000187,450,817,Two
E07000188,410,743,Two
E07000246,740,757,Two
E07000189,890,725,Two
E06000047,1580,571,Three
E06000005,510,609,Three
E06000001,250,539,Three
E06000002,380,596,Three
E06000057,620,646,Three
E06000003,290,578,Three
E06000004,560,642,Three
E08000037,280,672,Three
E08000021,410,897,Three
E08000022,350,754,Three
E08000023,210,614,Three
E08000024,400,617,Three
E06000008,390,613,Three
E06000009,530,640,Three
E06000049,1180,1001,Three
E06000050,840,884,Three
E06000006,320,678,Three
E06000007,500,876,Three
E07000026,290,659,Three
E07000027,200,691,Three
E07000028,420,632,Three
E07000029,250,621,Three
E07000030,200,716,Three
E07000031,340,850,Three
E08000001,430,804,Three
E08000002,260,881,Three
E08000003,880,1164,Three
E08000004,210,801,Three
E08000005,320,716,Three
E08000006,410,1015,Three
E08000007,530,1033,Three
E08000008,330,821,Three
E08000009,430,1231,Three
E08000010,960,657,Three
E07000117,220,564,Three
E07000118,320,739,Three
E07000119,190,838,Three
E07000120,240,577,Three
E07000121,320,740,Three
E07000122,210,592,Three
E07000123,340,683,Three
E07000124,230,836,Three
E07000125,160,700,Three
